2010 SOC code	2010 Census Code	2010 Census Title 	2018 SOC Code	2018 Census Code	2018 Census Title 
31-909X	3655	"Healthcare support workers, all other, including medical equipment preparers"	31-909X	3655	Other Healthcare Support Workers
					Medical equipment preparers (31-9093)
					"Healthcare Support Workers, All Other (31-9099)"
33-1011	3700	First-Line Supervisors of Correctional Officers	33-1011	3700	First-Line Supervisors of Correctional Officers
33-1012	3710	First-Line Supervisors of Police and Detectives	33-1012	3710	First-Line Supervisors of Police and Detectives
33-1021	3720	First-Line Supervisors of Fire Fighting and Prevention Workers	33-1021	3720	First-Line Supervisors of Firefighting and Prevention Workers
33-1099	3730	"First-Line Supervisors of Protective Service Workers, All Other"			
			33-1091	3725	First-Line Supervisors of Security Workers
			33-1099	3735	"First-Line Supervisors of Protective Service Workers, All Other"
33-2011	3740	Firefighters	33-2011	3740	Firefighters
33-2020	3750	Fire Inspectors 	33-2020	3750	Fire Inspectors 
					Fire Inspectors and Investigators (33-2021)
					Forest Fire Inspectors and Prevention Specialists (33-2022)
33-3010	3800	"Bailiffs, Correctional Officers, and Jailers"			
			33-3011	3801	Bailiffs
			33-3012	3802	Correctional Officers and Jailers
33-3021	3820	Detectives and Criminal Investigators	33-3021	3820	Detectives and Criminal Investigators
33-3031	3830	Fish and Game Wardens	33-3031	3830	Fish and Game Wardens
33-3041	3840	Parking Enforcement Workers	33-3041	3840	Parking Enforcement Workers
			33-3050	3870	Police Officers
33-3051	3850	Police and Sheriff's Patrol Officers			Police and Sheriff's Patrol Officers (33-3051)
33-3052	3860	Transit and Railroad Police			Transit and Railroad Police (33-3052)
33-9011	3900	Animal Control Workers	33-9011	3900	Animal Control Workers
33-9021	3910	Private Detectives and Investigators	33-9021	3910	Private Detectives and Investigators
33-9030	3930	Security Guards and Gaming Surveillance Officers	33-9030	3930	Security Guards and Gambling Surveillance Officers
					Gambling Surveillance Officers and Gambling Investigators (33-9031)
					Security Guards (33-9032)
33-9091	3940	Crossing Guards	33-9091	3940	Crossing Guards and Flaggers
33-9093 	3945	Transportation Security Screeners	33-9093	3945	Transportation Security Screeners
33-909X	3955	"Lifeguards and Other Recreational, and All Other Protective Service Workers"			
			33-9094	3946	School Bus Monitors
			33-909X	3960	Other Protective Service Workers
					"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092)"
					"Protective Service Workers, All Other  (33-9099)"
35-1011	4000	Chefs and Head Cooks	35-1011	4000	Chefs and Head Cooks
35-1012	4010	First-Line Supervisors of Food Preparation and Serving Workers	35-1012	4010	First-Line Supervisors of Food Preparation and Serving Workers
35-2010	4020	Cooks	35-2010	4020	Cooks
					"Cooks, Fast Food (35-2011)"
					"Cooks, Institution and Cafeteria (35-2012)"
					"Cooks, Private Household (35-2013)"
					"Cooks, Restaurant (35-2014)"
					"Cooks, Short Order (35-2015)"
					"Cooks, All Other (35-2019)"
35-2021	4030	Food Preparation Workers	35-2021	4030	Food Preparation Workers
35-3011	4040	Bartenders	35-3011	4040	Bartenders
			35-3023	4055	Fast Food and Counter Workers
35-3021	4050	"Combined Food Preparation and Serving Workers, Including Fast Food"			
35-3022	4060	"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"			
35-3031	4110	Waiters and Waitresses	35-3031	4110	Waiters and Waitresses
35-3041	4120	"Food Servers, Nonrestaurant"	35-3041	4120	"Food Servers, Nonrestaurant"
35-9011	4130	Dining Room and Cafeteria Attendants and Bartender Helpers	35-9011	4130	Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021	4140	Dishwashers	35-9021	4140	Dishwashers
35-9031	4150	"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"	35-9031	4150	"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-9099	4160	"Food Preparation and Serving Related Workers, All Other"	35-9099	4160	"Food Preparation and Serving Related Workers, All Other"
37-1011	4200	First-Line Supervisors of Housekeeping and Janitorial Workers	37-1011	4200	First-Line Supervisors of Housekeeping and Janitorial Workers
37-1012	4210	"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"	37-1012	4210	"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
37-201X	4220	Janitors and Building Cleaners	37-201X	4220	Janitors and Building Cleaners
					"Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011)"
					"Building Cleaning Workers, All Other (37-2019)"
37-2012	4230	Maids and housekeeping cleaners	37-2012	4230	Maids and Housekeeping Cleaners
37-2021	4240	Pest Control Workers	37-2021	4240	Pest Control Workers
37-3010	4250	Grounds Maintenance Workers			
			37-3011	4251	Landscaping and Groundskeeping Workers
			37-3013	4252	Tree Trimmers and Pruners
			37-301X	4255	Other Grounds Maintenance Workers
					"Pesticide Handlers, Sprayers, and Applicators, Vegetation (37-3012)"
					"Grounds Maintenance Workers, All Other (37-3019)"
			39-1000	4330	Supervisors of Personal Care and Service Workers
39-1010	4300	First-Line Supervisors of Gaming Workers			First-line Supervisors of Gambling Services Workers (39-1013)
39-1021	4320	First-Line Supervisors of Personal Service Workers			"First-line Supervisors of Entertainment and Recreation Workers, Except Gambling Services (39-1014)"
					First-Line Supervisors of Personal Service Workers (39-1022)
39-2011	4340	Animal Trainers	39-2011	4340	Animal Trainers
39-2021	4350	Nonfarm Animal Caretakers	39-2021	4350	Animal Caretakers
39-3010	4400	Gaming Services Workers	39-3010	4400	Gambling Services Workers
					Gambling Dealers (39-3011)
					Gambling and Sports Book Writers and Runners (39-3012)
					"Gambling Service Workers, All Other (39-3019)"
39-3021	4410	Motion Picture Projectionists			
39-3031	4420	"Ushers, Lobby Attendants, and Ticket Takers"	39-3031	4420	"Ushers, Lobby Attendants, and Ticket Takers"
39-3090	4430	Miscellaneous Entertainment Attendants and Related Workers	39-30XX	4435	Other Entertainment Attendants and Related Workers
					Motion Picture and Film Projectionists (39-3021)
					Amusement and Recreation Attendants (39-3091)
					Costume Attendants (39-3092)
					"Locker Room, Coatroom, and Dressing Room Attendants (39-3093)"
					"Entertainment Attendants and Related Workers, All Other (39-3099)"
39-40XX	4460	Embalmers and Funeral Attendants	39-40XX	4461	"Embalmers, Crematory Operators and Funeral Attendants"
					Embalmers (39-4011)
					Crematory Operators (39-4012)
					Funeral Attendants (39-4021)
39-4031	4465	"Morticians, Undertakers, and Funeral Directors"	39-4031	4465	"Morticians, Undertakers, and Funeral Arrangers"
39-5011	4500	Barbers	39-5011	4500	Barbers
39-5012	4510	"Hairdressers, Hairstylists, and Cosmetologists"	39-5012	4510	"Hairdressers, Hairstylists, and Cosmetologists"
39-5090	4520	Miscellaneous Personal Appearance Workers			
			39-5092	4521	Manicurists and Pedicurists
			39-5094	4522	Skincare Specialists
			39-509X	4525	Other Personal Appearance Workers
					"Makeup Artists, Theatrical and Performance (39-5091)"
					Shampooers (39-5093)
39-6010	4530	"Baggage Porters, Bellhops, and Concierges"	39-6010	4530	"Baggage Porters, Bellhops, and Concierges"
					Baggage Porters and Bellhops (39-6011)
					Concierges (39-6012)
39-7010	4540	Tour and Travel Guides	39-7010	4540	Tour and Travel Guides
					Tour Guides and Escorts (39-7011)
					Travel Guides (39-7012)
					
39-9011	4600	Childcare Workers	39-9011	4600	Childcare Workers
39-9021	4610	Personal Care Aides	31-1122	3602	Personal Care Aides
39-9030	4620	Recreation and Fitness Workers			
			39-9031	4621	Exercise Trainers and Group Fitness Instructors
			39-9032	4622	Recreation Workers
39-9041	4640	Residential Advisors	39-9041	4640	Residential Advisors
39-9099	4650	"Personal Care and Service Workers, All Other"	39-9099	4655	"Personal Care and Service Workers, All Other"
41-1011	4700	First-Line Supervisors of Retail Sales Workers	41-1011	4700	First-Line Supervisors of Retail Sales Workers
41-1012	4710	First-Line Supervisors of Non-Retail Sales Workers	41-1012	4710	First-Line Supervisors of Non-Retail Sales Workers
41-2010	4720	Cashiers	41-2010	4720	Cashiers
					Cashiers (41-2011)
					Gambling Change Persons and Booth Cashiers (41-2012)
41-2021	4740	Counter and Rental Clerks	41-2021	4740	Counter and Rental Clerks
41-2022	4750	Parts Salespersons	41-2022	4750	Parts Salespersons
41-2031	4760	Retail Salespersons	41-2031	4760	Retail Salespersons
41-3011	4800	Advertising Sales Agents	41-3011	4800	Advertising Sales Agents
41-3021	4810	Insurance Sales Agents	41-3021	4810	Insurance Sales Agents
41-3031	4820	"Securities, Commodities, and Financial Services Sales Agents"	41-3031	4820	"Securities, Commodities, and Financial Services Sales Agents"
41-3041	4830	Travel Agents	41-3041	4830	Travel Agents
41-3099	4840	"Sales Representatives, Services, All Other"	41-3091	4840	"Sales representatives of services, except advertising, insurance, financial services, and travel"
41-4010	4850	"Sales Representatives, Wholesale and Manufacturing"	41-4010	4850	"Sales Representatives, Wholesale and Manufacturing"
					"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products (41-4011)"
					"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products  (41-4012)"
41-9010	4900	"Models, Demonstrators, and Product Promoters"	41-9010	4900	"Models, Demonstrators, and Product Promoters"
					Demonstrators and Product Promoters (41-9011)
					Models (41-9012)
41-9020	4920	Real Estate Brokers and Sales Agents	41-9020	4920	Real Estate Brokers and Sales Agents
					Real Estate Brokers (41-9021)
					Real Estate Sales Agents (41-9022)
41-9031	4930	Sales Engineers	41-9031	4930	Sales Engineers
41-9041	4940	Telemarketers	41-9041	4940	Telemarketers
41-9091	4950	"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"	41-9091	4950	"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
41-9099	4965	"Sales and Related Workers, All Other"	41-9099	4965	"Sales and Related Workers, All Other"
43-1011	5000	First-Line Supervisors of Office and Administrative Support Workers	43-1011	5000	First-Line Supervisors of Office and Administrative Support Workers
43-2011	5010	"Switchboard Operators, Including Answering Service"	43-2011	5010	"Switchboard Operators, Including Answering Service"
43-2021	5020	Telephone Operators	43-2021	5020	Telephone Operators
43-2099	5030	"Communications Equipment Operators, All Other"	43-2099	5040	"Communications Equipment Operators, All Other"
43-3011	5100	Bill and Account Collectors	43-3011	5100	Bill and Account Collectors
43-3021	5110	Billing and Posting Clerks	43-3021	5110	Billing and Posting Clerks
43-3031	5120	"Bookkeeping, Accounting, and Auditing Clerks"	43-3031	5120	"Bookkeeping, Accounting, and Auditing Clerks"
43-3041	5130	Gaming Cage Workers	43-3041	5130	Gambling Cage Workers
43-3051	5140	Payroll and Timekeeping Clerks	43-3051	5140	Payroll and Timekeeping Clerks
43-3061	5150	Procurement Clerks	43-3061	5150	Procurement Clerks
43-3071	5160	Tellers	43-3071	5160	Tellers
43-3099	5165	"Financial Clerks, All Other"	43-3099	5165	"Financial Clerks, All Other"
43-4011	5200	Brokerage Clerks	43-4011	5200	Brokerage Clerks
43-4021	5210	Correspondence Clerks	43-4021	5210	Correspondence Clerks
43-4031	5220	"Court, Municipal, and License Clerks"	43-4031	5220	"Court, Municipal, and License Clerks"
43-4041	5230	"Credit Authorizers, Checkers, and Clerks"	43-4041	5230	"Credit Authorizers, Checkers, and Clerks"
43-4051	5240	Customer Service Representatives	43-4051	5240	Customer Service Representatives
43-4061	5250	"Eligibility Interviewers, Government Programs"	43-4061	5250	"Eligibility Interviewers, Government Programs"
43-4071	5260	File Clerks	43-4071	5260	File Clerks
43-4081	5300	"Hotel, Motel, and Resort Desk Clerks"	43-4081	5300	"Hotel, Motel, and Resort Desk Clerks"
43-4111	5310	"Interviewers, Except Eligibility and Loan"	43-4111	5310	"Interviewers, Except Eligibility and Loan"
43-4121	5320	"Library Assistants, Clerical"	43-4121	5320	"Library Assistants, Clerical"
43-4131	5330	Loan Interviewers and Clerks	43-4131	5330	Loan Interviewers and Clerks
43-4141	5340	New Accounts Clerks	43-4141	5340	New Accounts Clerks
43-4151	5350	Order Clerks	43-4151	5350	Order Clerks
43-4161	5360	"Human Resources Assistants, Except Payroll and Timekeeping"	43-4161	5360	"Human Resources Assistants, Except Payroll and Timekeeping"
43-4171	5400	Receptionists and Information Clerks	43-4171	5400	Receptionists and Information Clerks
43-4181	5410	Reservation and Transportation Ticket Agents and Travel Clerks	43-4181	5410	Reservation and Transportation Ticket Agents and Travel Clerks
43-4199	5420	"Information and Record Clerks, All Other"	43-4199	5420	"Information and Record Clerks, All Other"
43-5011	5500	Cargo and Freight Agents	43-5011	5500	Cargo and Freight Agents
43-5021	5510	Couriers and Messengers	43-5021	5510	Couriers and Messengers
43-5030	5520	Dispatchers			
			43-5031	5521	Public Safety Telecommunicators
			43-5032	5522	"Dispatchers, Except Police, Fire, and Ambulance"
43-5041	5530	"Meter Readers, Utilities"	43-5041	5530	"Meter Readers, Utilities"
43-5051	5540	Postal Service Clerks	43-5051	5540	Postal Service Clerks
43-5052	5550	Postal Service Mail Carriers	43-5052	5550	Postal Service Mail Carriers
43-5053	5560	"Postal Service Mail Sorters, Processors, and Processing Machine Operators"	43-5053	5560	"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
43-5061	5600	"Production, Planning, and Expediting Clerks"	43-5061	5600	"Production, Planning, and Expediting Clerks"
43-5071	5610	"Shipping, Receiving, and Traffic Clerks"	43-5071	5610	"Shipping, Receiving, and Inventory Clerks"
43-5081	5620	Stock Clerks and Order Fillers	53-7065	9645	Stockers and Order Fillers
43-5111	5630	"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"	43-5111	5630	"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
43-6010	5700	Secretaries and Administrative Assistants			
			43-6011	5710	Executive Secretaries and Executive Administrative Assistants
			43-6012	5720	Legal Secretaries and Administrative Assistants
			43-6013	5730	Medical Secretaries and Administrative Assistants
			43-6014	5740	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
43-9011	5800	Computer Operators			
43-9021	5810	Data Entry Keyers	43-9021	5810	Data Entry Keyers
43-9022	5820	Word Processors and Typists	43-9022	5820	Word Processors and Typists
43-9031	5830	Desktop Publishers	43-9031	5830	Desktop Publishers
43-9041	5840	Insurance Claims and Policy Processing Clerks	43-9041	5840	Insurance Claims and Policy Processing Clerks
43-9051	5850	"Mail Clerks and Mail Machine Operators, Except Postal Service"	43-9051	5850	"Mail Clerks and Mail Machine Operators, Except Postal Service"
43-9061	5860	"Office Clerks, General"	43-9061	5860	"Office Clerks, General"
43-9071	5900	"Office Machine Operators, Except Computer"	43-9071	5900	"Office Machine Operators, Except Computer"
43-9081	5910	Proofreaders and Copy Markers	43-9081	5910	Proofreaders and Copy Markers
43-9111	5920	Statistical Assistants	43-9111	5920	Statistical Assistants
43-9199	5940	"Office and Administrative Support Workers, All Other"	43-9199	5940	"Office and Administrative Support Workers, All Other"
45-1011	6005	"First-Line Supervisors of Farming, Fishing, and Forestry Workers"	45-1011	6005	"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
45-2011	6010	Agricultural Inspectors	45-2011	6010	Agricultural Inspectors
45-2021	6020	Animal Breeders	45-2021	6020	Animal Breeders
45-2041	6040	"Graders and Sorters, Agricultural Products"	45-2041	6040	"Graders and Sorters, Agricultural Products"
45-2090	6050	Miscellaneous Agricultural Workers	45-2090	6050	Miscellaneous Agricultural Workers
					Agricultural Equipment Operators (45-2091)
					"Farmworkers and Laborers, Crop, Nursery, and Greenhouse (45-2092)"
					"Farmworkers, Farm, Ranch, and Aquacultural Animals (45-2093)"
					"Agricultural Workers, All Other (45-2099)"
			45-3031	6115	Fishing and Hunting Workers
45-3011	6100	Fishers and Related Fishing Workers			
45-3021	6110	Hunters and Trappers			
45-4011	6120	Forest and Conservation Workers	45-4011	6120	Forest and Conservation Workers
45-4020	6130	Logging Workers	45-4020	6130	Logging Workers
					Fallers (45-4021)
					Logging Equipment Operators (45-4022)
					Log Graders and Scalers (45-4023)
					"Logging Workers, All Other (45-4029)"
47-1011	6200	First-Line Supervisors of Construction Trades and Extraction Workers	47-1011	6200	First-Line Supervisors of Construction Trades and Extraction Workers
47-2011	6210	Boilermakers	47-2011	6210	Boilermakers
47-2020	6220	"Brickmasons, Blockmasons, and Stonemasons"	47-2020	6220	"Brickmasons, Blockmasons, and Stonemasons"
					Brickmasons and Blockmasons (47-2021)
					Stonemasons (47-2022)
47-2031	6230	Carpenters	47-2031	6230	Carpenters
47-2040	6240	"Carpet, Floor, and Tile Installers and Finishers"	47-2040	6240	"Carpet, Floor, and Tile Installers and Finishers"
					Carpet Installers (47-2041)
					"Floor Layers, Except Carpet, Wood, and Hard Tiles (47-2042)"
					Floor Sanders and Finishers (47-2043)
					Tile and Stone Setters (47-2044)
47-2050	6250	"Cement Masons, Concrete Finishers, and Terrazzo Workers"	47-2050	6250	"Cement Masons, Concrete Finishers, and Terrazzo Workers"
					Cement Masons and Concrete Finishers (47-2051)
					Terrazzo Workers and Finishers (47-2053)
47-2061	6260	Construction Laborers	47-2061	6260	Construction Laborers
			47-2070	6305	Construction Equipment Operators
47-2071	6300	"Paving, Surfacing, and Tamping Equipment Operators"			"Paving, Surfacing, and Tamping Equipment Operators (47-2071)"
47-2072	6310	Pile-Driver Operators			Pile Driver Operators (47-2072)
47-2073	6320	Operating Engineers and Other Construction Equipment Operators		Operating Engineers and Other Construction Equipment Operators (47-2073)	
47-2080	6330	"Drywall Installers, Ceiling Tile Installers, and Tapers"	47-2080	6330	"Drywall Installers, Ceiling Tile Installers, and Tapers"
					Drywall and Ceiling Tile Installers (47-2081)
					Tapers (47-2082)
47-2111	6355	Electricians	47-2111	6355	Electricians
47-2121	6360	Glaziers	47-2121	6360	Glaziers
47-2130	6400	Insulation Workers	47-2130	6400	Insulation Workers
					"Insulation Workers, Floor, Ceiling, and Wall (47-2131)"
					"Insulation Workers, Mechanical (47-2132)"
			47-2140	6410	Painters and Paperhangers
47-2141	6420	"Painters, Construction and Maintenance"			"Painters, Construction and Maintenance (47-2141)"
47-2142	6430	Paperhangers			Paperhangers (47-2142)
47-2150	6440	"Pipelayers, Plumbers, Pipefitters, and Steamfitters"			
			47-2151	6441	Pipelayers
			47-2152	6442	"Plumbers, Pipefitters, and Steamfitters"
47-2161	6460	Plasterers and Stucco Masons	47-2161	6460	Plasterers and Stucco Masons
47-2171	6500	Reinforcing Iron and Rebar Workers	47-2171	6500	Reinforcing Iron and Rebar Workers
47-2181	6515	Roofers	47-2181	6515	Roofers
47-2211	6520	Sheet Metal Workers	47-2211	6520	Sheet Metal Workers
47-2221	6530	Structural Iron and Steel Workers	47-2221	6530	Structural Iron and Steel Workers
47-2231	6540	Solar Photovoltaic Installers	47-2231	6540	Solar Photovoltaic Installers
47-3010	6600	"Helpers, Construction Trades"	47-3010	6600	"Helpers, Construction Trades"
					"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters (47-3011)"
					Helpers--Carpenters  (47-3012)
					Helpers--Electricians (47-3013)
					"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons (47-3014)"
					"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters (47-3015)"
					Helpers--Roofers (47-3016)
					"Helpers, Construction Trades, All Other (47-3019)"
47-4011	6660	Construction and Building Inspectors	47-4011	6660	Construction and Building Inspectors
47-4021	6700	Elevator Installers and Repairers	47-4021	6700	Elevator and escalator installers and repairers
47-4031	6710	Fence Erectors	47-4031	6710	Fence Erectors
47-4041	6720	Hazardous Materials Removal Workers	47-4041	6720	Hazardous Materials Removal Workers
47-4051	6730	Highway Maintenance Workers	47-4051	6730	Highway Maintenance Workers
47-4061	6740	Rail-Track Laying and Maintenance Equipment Operators	47-4061	6740	Rail-Track Laying and Maintenance Equipment Operators
47-4071	6750	Septic Tank Servicers and Sewer Pipe Cleaners	47-4071	6750	Septic Tank Servicers and Sewer Pipe Cleaners
47-4090	6765	Miscellaneous Construction and Related Workers	47-4090	6765	Miscellaneous Construction and Related Workers
					Segmental Pavers (47-4091)
					"Construction and Related Workers, All Other (47-4099)"
47-5010	6800	"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining"	47-5010	6800	"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas  "
					"Derrick Operators, Oil and Gas (47-5011)"
					"Rotary Drill Operators, Oil and Gas (47-5012)"
					"Service Unit Operators, Oil and Gas (47-5013)"
47-5021	6820	"Earth Drillers, Except Oil and Gas"	47-5023	6825	"Earth Drillers, Except Oil and Gas"
47-5031	6830	"Explosives Workers, Ordnance Handling Experts, and Blasters"	47-5032	6835	"Explosives Workers, Ordnance Handling Experts, and Blasters"
			47-5040	6850	Underground Mining Machine Operators
47-5040	6840	Mining Machine Operators			
					Continuous Mining Machine Operators (47-5041)
47-5061	6910	"Roof Bolters, Mining"			"Roof Bolters, Mining (47-5043)"
					"Loading and Moving Machine Operators, Underground Mining (47-5044)"
					"Underground Mining Machine Operators, All Other (47-5049)"
47-5071	6920	"Roustabouts, Oil and Gas"	47-5071	6920	"Roustabouts, Oil and Gas"
47-5081	6930	Helpers--Extraction Workers			
47-50XX	6940	Other Extraction Workers	47-50XX	6950	Other Extraction Workers
					"Rock Splitters, Quarry (47-5051)"
					Helpers--Extraction Workers (47-5081)
					"Extraction Workers, All Other (47-5099)"
49-1011	7000	"First-Line Supervisors of Mechanics, Installers, and Repairers"	49-1011	7000	"First-Line Supervisors of Mechanics, Installers, and Repairers"
49-2011	7010	"Computer, Automated Teller, and Office Machine Repairers"	49-2011	7010	"Computer, Automated Teller, and Office Machine Repairers"
49-2020	7020	Radio and Telecommunications Equipment Installers and Repairers	49-2020	7020	Radio and Telecommunications Equipment Installers and Repairers
					"Radio, Cellular, and Tower Equipment Installers and Repairers (49-2021)"
					"Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022)"
49-2091	7030	Avionics Technicians	49-2091	7030	Avionics Technicians
49-2092	7040	"Electric Motor, Power Tool, and Related Repairers"	49-2092	7040	"Electric Motor, Power Tool, and Related Repairers"
49-2093	7050	"Electrical and Electronics Installers and Repairers, Transportation Equipment"	49-2093	7050	"Electrical and Electronics Installers and Repairers, Transportation Equipment"
49-209X	7100	"Electrical and Electronics Repairers, Industrial and Utility "	49-209X	7100	"Electrical and Electronics Repairers, Industrial and Utility "
					"Electrical and Electronics Repairers, Commercial and Industrial Equipment (49-2094)"
					"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay (49-2095)"
49-2096	7110	"Electronic Equipment Installers and Repairers, Motor Vehicles"	49-2096	7110	"Electronic Equipment Installers and Repairers, Motor Vehicles"
49-2097	7120	Electronic Home Entertainment Equipment Installers and Repairers	49-2097	7120	Audiovisual equipment installers and repairers 
49-2098	7130	Security and Fire Alarm Systems Installers	49-2098	7130	Security and Fire Alarm Systems Installers
49-3011	7140	Aircraft Mechanics and Service Technicians	49-3011	7140	Aircraft Mechanics and Service Technicians
49-3021	7150	Automotive Body and Related Repairers	49-3021	7150	Automotive Body and Related Repairers
49-3022	7160	Automotive Glass Installers and Repairers	49-3022	7160	Automotive Glass Installers and Repairers
49-3023	7200	Automotive Service Technicians and Mechanics	49-3023	7200	Automotive Service Technicians and Mechanics
49-3031	7210	Bus and Truck Mechanics and Diesel Engine Specialists	49-3031	7210	Bus and Truck Mechanics and Diesel Engine Specialists
49-3040	7220	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics	49-3040	7220	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
					Farm Equipment Mechanics and Service Technicians (49-3041)
					"Mobile Heavy Equipment Mechanics, Except Engines (49-3042)"
					Rail Car Repairers (49-3043)
49-3050	7240	Small Engine Mechanics	49-3050	7240	Small Engine Mechanics
					Motorboat Mechanics and Service Technicians (49-3051)
					Motorcycle Mechanics (49-3052)
					Outdoor Power Equipment and Other Small Engine Mechanics (49-3053)
49-3090	7260	"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"	49-3090	7260	"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
					Bicycle Repairers (49-3091)
					Recreational Vehicle Service Technicians (49-3092)
					Tire Repairers and Changers (49-3093)
49-9010	7300	Control and Valve Installers and Repairers	49-9010	7300	Control and Valve Installers and Repairers
					Mechanical Door Repairers (49-9011)
					"Control and Valve Installers and Repairers, Except Mechanical Door (49-9012)"
49-9021	7315	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	49-9021	7315	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
49-9031	7320	Home Appliance Repairers	49-9031	7320	Home Appliance Repairers
49-904X	7330	Industrial and Refractory Machinery Mechanics	49-904X	7330	Industrial and Refractory Machinery Mechanics
					Industrial Machinery Mechanics (49-9041)
					"Refractory Materials Repairers, Except Brickmasons (49-9045)"
49-9071	7340	"Maintenance and Repair Workers, General"	49-9071	7340	"Maintenance and Repair Workers, General"
49-9043	7350	"Maintenance Workers, Machinery"	49-9043	7350	"Maintenance Workers, Machinery"
49-9044	7360	Millwrights	49-9044	7360	Millwrights
49-9051	7410	Electrical Power-Line Installers and Repairers	49-9051	7410	Electrical Power-Line Installers and Repairers
49-9052	7420	Telecommunications Line Installers and Repairers	49-9052	7420	Telecommunications Line Installers and Repairers
49-9060	7430	Precision Instrument and Equipment Repairers	49-9060	7430	Precision Instrument and Equipment Repairers
					Camera and Photographic Equipment Repairers (49-9061)
					Medical Equipment Repairers (49-9062)
					Musical Instrument Repairers and Tuners (49-9063)
					Watch and Clock Repairers (49-9064)
					"Precision Instrument and Equipment Repairers, All Other (49-9069)"
49-9081	7440	Wind Turbine Service Technicians	49-9081	7440	Wind Turbine Service Technicians
49-9091	7510	"Coin, Vending, and Amusement Machine Servicers and Repairers"	49-9091	7510	"Coin, Vending, and Amusement Machine Servicers and Repairers"
49-9092	7520	Commercial Divers	49-9092	7520	Commercial Divers
49-9094	7540	Locksmiths and Safe Repairers	49-9094	7540	Locksmiths and Safe Repairers
49-9095	7550	Manufactured Building and Mobile Home Installers	49-9095	7550	Manufactured Building and Mobile Home Installers
49-9096	7560	Riggers	49-9096	7560	Riggers
49-9097	7600	Signal and Track Switch Repairers			
49-9098	7610	"Helpers--Installation, Maintenance, and Repair Workers"	49-9098	7610	"Helpers--Installation, Maintenance, and Repair Workers"
			49-909X	7640	"Other Installation, Maintenance, and Repair Workers"
					Signal and Track Switch Repairers (49-9097)
49-909X	7630	"Other Installation, Maintenance, and Repair Workers"			"Installation, Maintenance, and Repair Workers, All Other (49-9099)"
51-1011	7700	First-Line Supervisors of Production and Operating Workers	51-1011	7700	First-Line Supervisors of Production and Operating Workers
51-2011	7710	"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"	51-2011	7710	"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-2020	7720	"Electrical, Electronics, and Electromechanical Assemblers"	51-2020	7720	"Electrical, Electronics, and Electromechanical Assemblers"
					"Coil Winders, Tapers, and Finishers (51-2021)"
					Electrical and Electronic Equipment Assemblers (51-2022)
					Electromechanical Equipment Assemblers (51-2023)
51-2031	7730	Engine and Other Machine Assemblers	51-2031	7730	Engine and Other Machine Assemblers
51-2041	7740	Structural Metal Fabricators and Fitters	51-2041	7740	Structural Metal Fabricators and Fitters
51-2090	7750	Miscellaneous Assemblers and Fabricators	51-20XX	7750	Other Assemblers and Fabricators
					Fiberglass Laminators and Fabricators (51-2051)
					Timing Device Assemblers and Adjusters (51-2061)
					Team Assemblers (51-2092)
					"Assemblers and Fabricators, All Other (51-2099)"
51-3011	7800	Bakers	51-3011	7800	Bakers
51-3020	7810	"Butchers and Other Meat, Poultry, and Fish Processing Workers"	51-3020	7810	"Butchers and Other Meat, Poultry, and Fish Processing Workers"
					Butchers and Meat Cutters (51-3021)
					"Meat, Poultry, and Fish Cutters and Trimmers (51-3022)"
					Slaughterers and Meat Packers (51-3023)
